Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
,,,,Deal,Free,Deal,Free,,,,,,,,
11002,ALCO MEAT MASALA 50G,PCS,-2,0,0,0,0,0,31.9,21.1,31.9,ALCO FOODS PVT LTD,,,8906118080267
10479,ALCO MUTTON CURRY GRAVY 50G,PCS,-6,0,0,0,0,0,50,33.7,50,ALCO FOODS PVT LTD,,,8906118085422
10916,ALCO RED CHILI POWDER 500G,PCS,-1,0,0,0,0,0,177.5,113.35,177.5,ALCO FOODS PVT LTD,,,8906118080489
10760,ALCO TURMERIC POWDER 500G,PCS,-6,0,0,0,0,0,117.5,75.03,117.5,ALCO FOODS PVT LTD,,,8906118080472
10440,ALCO VEGETABLE MASALA 100G,PCS,-10,0,0,0,0,0,45.8,0,45.8,ALCO FOODS PVT LTD,,,8906118080434
10606,ALL OUT COIL 10+4,PCS,37,0,0,0,0,23.94,35,20.29,35,APEX HEALTH CARE PRODUCTS,,,8906006431874
9661,ALL OUT ULTRA COMBI,PCS,19,0,0,0,0,84.63,95,71.72,95,BRILLON CONSUMER,,,8906006435773
9659,ALL OUT ULTRA REFIL,PCS,2,0,0,0,0,67.9,77,57.54,77,BRILLON CONSUMER,,,8906006430419
11038,ALL OUT ULTRA TWIN 90ML,PCS,17,0,0,0,0,128.27,144,108.71,144,BRILLON CONSUMER,,,8906006430402
4810,ALMOND YASH,PCS,-5,0,0,0,0,141.25,352,141.25,760,P&M,,,
1488,ALOEVERA KANTI 75G,PCS,16,0,0,0,0,19.61,22,17.31,22,PATANJALI,,,8904109450136
7486,AMLA HAIR OIL 275 ML,PCS,5,0,0,0,0,123.58,138,106.32,138,DABUR,,,8901207038396
9366,AMLA HAIR OIL 450ML,PCS,1,0,0,0,0,187.15,209,161.02,209,DABUR,,,8901207038402
121,AMUL BUTTER 200G,PCS,-35,0,0,0,0,47.63,52,42.53,52,AMUL,,,8901262010016
120,AMUL BUTTER 500G,PCS,-2,0,0,0,0,233.59,255,233.58,255,AMUL,,,8901262010023
7996,AMUL CHEESE 100G,PCS,-14,0,0,0,0,67.01,73,59.83,73,AMUL,,,8901262020046
3609,AMUL CHEESE 200G,PCS,-22,0,0,0,0,119.34,130,119.34,130,AMUL,,,8901262020015
10767,AMUL CHEESE SPREAD,PCS,-3,0,0,0,0,0,90,0,90,AMUL,,,8901262060011
11254,AMUL COE GHEE 1L CARTOON,PCS,2,0,0,0,0,494.1,540,441.16,540,AMUL,,,8901262030601
8425,AMUL COW GHEE 1LT,PCS,-3,0,0,0,0,0,555,453.42,555,AMUL,,,8901262030243
11085,AMUL DARK CHOCOLATE 150G,PCS,6,0,0,0,0,88,110,74.58,110,AMUL,,,8901262070676
11033,AMUL DARK CHOCOLATE 40G,PCS,12,0,0,0,0,20.83,25,17.65,25,AMUL,,,8901262070454
11031,AMUL FRESH CREAM 250ML,PCS,6,0,0,0,0,60.45,65,60.45,65,AMUL,,,8901262151863
11105,AMUL GHEE 500ML,PCS,1,0,0,0,0,260.76,285,260.78,285,AMUL,,,8901262030267
10628,AMUL IC CUP VANILLA 55ML,PCS,-4,0,0,0,0,0,10,7.46,10,AMUL,,,8901262175579
10134,AMUL IC TRICONE VANILLA 120ML,PCS,-9,0,0,0,0,0,25,0,25,AMUL,,,VL29216
10432,AMUL ICE CREAM 115,PCS,-1,0,0,0,0,0,115,0,115,AMUL,,,VS51102
10533,AMUL ICECREAM 110,PCS,-1,0,0,0,0,0,110,0,110,AMUL,,,VS34128
10483,AMUL ICECREAM 30,PCS,-2,0,0,0,0,0,30,0,30,AMUL,,,VL19967
9756,AMUL KOOL KESAR 180ML,PCS,-154,0,0,0,0,19.58,22,19.58,22,AMUL,,,8901262152242
4803,AMUL KOOL KESAR 200ML,PCS,-4,0,0,0,0,22.26,25,19.87,25,AMUL,,,8901262150491
4588,AMUL LASSI,PCS,-5,0,0,0,0,13.5,15,13.5,15,AMUL,,,
10229,AMUL LASSI 200ML,PCS,-95,0,0,0,0,15.3,17,14.57,17,AMUL,,,8901262200189
9754,AMUL LASSI 250ML,PCS,-1,0,0,0,0,18,20,18,20,AMUL,,,8901262151696
9757,AMUL MASTI BUTTERMILK 200ML,PCS,-203,0,0,0,0,11.7,13,11.7,14,AMUL,,,8901262200196
9755,AMUL MILK CHOCOLATE 180ML,PCS,2,0,0,0,0,22.26,25,19.87,25,AMUL,,,8901262152419
10855,AMUL PASTEURISED BUTTER 200G,PCS,-7,0,0,0,0,97.1,106,97.1,106,AMUL,,,8901262010320
11032,AMUL PASTEURISED BUTTER 50G,PCS,7,0,0,0,0,24.73,27,22.08,27,AMUL,,,8901262010337
10629,AMUL PUNJABI KULFI 60ML,PCS,-1,0,0,0,0,0,20,13.98,20,AMUL,,,VA16143
684,AMUL PURE GHEE 1L,PCS,-4,0,0,0,0,512.41,560,457.5,560,AMUL,,,8901262030151
11257,AMUL PURE GHEE 1L TETRA PACK,PCS,3,0,0,0,0,462.12,525,412.56,525,AMUL,,,8901262030700
10270,AMUL SLICED BREAD,PCS,-407,0,0,0,0,24,28,24,28,PRINCE FOOD PRODUCTS,,,
614,AMUL SPRAY 1K.G,PCS,1,0,0,0,0,400.77,430,400.76,430,AMUL,,,8901262080019
615,AMUL SPRAY 500G,PCS,-3,0,0,0,0,207.85,223,207.84,223,AMUL,,,8901262080033
11152,AMULYA DAIRY WHITNER 200G,PCS,5,0,0,0,0,81.07,87,81.08,87,AMUL,,,8901262090353
5711,ANCHOR CLOVE TOOTHPASTE 175G,PCS,-1,0,0,0,0,0,62,43.22,62,ANCHOR CONSUMER PRODUCTS PVT LTD,,,8904000901294
5712,ANCHOR HAND WASH 900ML,PCS,-4,0,0,0,0,0,108,70.34,108,ANCHOR CONSUMER PRODUCTS PVT LTD,,,8904000905100
10393,ANCHOR TONGUE CLEANER,PCS,-31,0,0,0,0,0,30,16.07,30,ANCHOR CONSUMER PRODUCTS PVT LTD,,,8904000906312
10592,APPY FIZZ 600ML,PCS,-20,0,0,0,0,0,35,30,35,PARLE,,,8902579000004
10573,APPY FIZZ BLACK 250ML,PCS,-46,0,0,0,0,0,18,15.78,20,PARLE,,,8902579131005
10574,APPY FIZZ RED 250ML,PCS,-27,0,0,0,0,0,18,15.78,18,PARLE,,,8902579000660
9722,ARAROT,PCS,-9,0,0,0,0,0,30,0,30,EVEREST,,,VE13052
11060,ARBA RICE 1 K.G,PCS,-47,0,0,0,0,49,55,49,55,-BLANK-,,,VB16065
2013,ARHAR DAL 1KG (TOOR DAAL),PCS,-9,0,0,0,0,146,158,146,147,P&M,,,
10263,ARIEL COMPLETE 1.5KG,PCS,11,0,0,0,0,282.82,332,260.52,332,P&G,,,4987176081636
3985,ARIEL COMPLETE 3KG+BKT,PCS,3,0,0,0,0,542.23,610,478.66,610,P&G,,,4987176058072
10254,ARIEL FRONT LOAD 1L,PCS,5,0,0,0,0,216.45,250,196.17,250,P&G,,,4987176106650
10253,ARIEL FRONT LOAD 500ML,PCS,5,0,0,0,0,108.23,125,98.08,125,P&G,,,4987176106636
10794,ARIEL MAT FL 1 KG BAG,PCS,5,0,0,0,0,253.34,285,223.64,285,P&G,,,4987176045133
10793,ARIEL MAT TL 1KG BAG,PCS,1,0,0,0,0,235.55,265,207.94,265,P&G,,,4987176044976
5662,ARIEL MATIC TOP LOAD 1L,PCS,7,0,0,0,0,190.48,220,172.63,220,P&G,,,4987176106643
3986,ARIEL PERFECT 1 K.G,PCS,23,0,0,0,0,120.37,130,102.01,130,P&G,,,4987176069696
10252,ARIEL TOP LIQUID 500ML,PCS,5,0,0,0,0,94.38,109,85.53,109,P&G,,,4987176106629
2231,ARIL COLOUR 3KG,PCS,-1,0,0,0,0,0,540,0,540,P&G,,,4902430840767
2236,ARIL FRONT LOAD 4+2KG,PCS,-1,0,0,0,0,0,1099,0,1220,P&G,,,4902430885249
9741,ATTA 25,PCS,-4,0,0,0,0,0,625,610,625,EVEREST,,,VH40262
9449,AXE AFTERSHAVE LOTION 50ML,PCS,-2,0,0,0,0,109.91,130,100.15,130,HUL,,,8901030768088
10097,AXE CHAMPION DEO,PCS,-2,0,0,0,0,170.26,220,162.12,220,HUL,,,8901030834639
7719,AXE DENIM SHAVING CREAM 78G,PCS,5,0,0,0,0,64,80,61.63,80,HUL,,,8901030767517
9639,AXE SIG AFTER SAVE LOTION 100ML,PCS,2,0,0,0,0,190.22,225,173.34,225,HUL,,,8901030611162
9637,AXE SIGN BODY DEODORANT 122ML,PCS,-1,0,0,0,0,162.58,220,162.12,220,HUL,,,8901030834592
3475,AXE SIGNATURE SUAVE,PCS,-6,0,0,0,0,140.92,190,140.01,44,AXE,,,8901030767500
8634,BABILA BA-V37,PCS,-1,0,0,0,0,45.5,65,55.08,65,BABILA,,,8906034036218
10247,BABILA COMB,PCS,-5,0,0,0,0,0,55,49.11,55,BABILA,,,8906034031367
8631,BABILA PUMICE STONE PC-V017,PCS,-1,0,0,0,0,52.5,75,63.56,75,BABILA,,,8906034030919
1295,BABY CARE  COLLECTION,PCS,3,0,0,0,0,111.24,135,98.2,135,JOHNSON & JOHSONS,,,8901012191255
1297,BABY CARE COLLECTION,PCS,3,0,0,0,0,502.66,610,443.74,610,JOHNSON & JOHSONS,,,8901012191279
1324,BABY CREAM,PCS,-2,0,0,0,0,0,50,41.38,58,JOHNSON & JOHSONS,,,8901012116807
1319,BABY SOAP 50G,PCS,7,0,0,0,0,29.68,36,26.76,36,JOHNSON & JOHSONS,,,8901012116630
1302,BABY TOP TO TOE 100ML,PCS,4,0,0,0,0,74.48,90,65.75,90,JOHNSON & JOHSONS,,,8901012116883
1301,BABY TOP TO TOE 200 ML,PCS,4,0,0,0,0,136.55,165,120.54,165,JOHNSON & JOHSONS,,,8901012116890
3340,BADAM 1 KG,PCS,-36,0,0,0,0,100,115,100,115,SUPER,,,
9790,BADAM 100G,PCS,-4,0,0,0,0,0,12,0,12,HUL,,,VK17773
9778,BADAM 250G,PCS,-16,0,0,0,0,0,28,0,29,HUL,,,VM20529
9493,BADAM 500G,PCS,-90,0,0,0,0,50,58,50,58,PATANJALI,,,
9728,BADAM GIRI 1 KG FOR H,PCS,-3,0,0,0,0,0,710,680,725,EVEREST,,,VK54294
9729,BADAM GIRI 100G FOR H,PCS,-2,0,0,0,0,0,71,68,78,EVEREST,,,VB40842
3243,BADAMGIRI,PCS,-1,0,0,0,0,162.5,760,162.5,760,P&M,,,
9471,BADAMGIRI 250G,PCS,-63,0,0,0,0,175,195,156.25,195,PREMIUM QUALITY,,,B250
9888,BADAMGIRI 250G 190,PCS,-16,0,0,0,0,0,190,0,190,GAURI NUTS COMPANY,,,VG55610
9612,BADAMGIRI 500G,PCS,-14,0,0,0,0,350,390,312.5,370,-BLANK-,,,BA500
9846,BADAMGIRI 500G FOR H,PCS,-4,0,0,0,0,0,360,0,380,JYOTHY LABS,,,VK25191
10347,BADI ELAYCHI 100G,PCS,-6,0,0,0,0,0,100,0,100,-BLANK-,,,
10419,BADI ELAYCHI 300G,PCS,-1,0,0,0,0,0,270,0,270,-BLANK-,,,VP53878
9763,BADI ELAYCHI 30G,PCS,-1,0,0,0,0,0,30,0,30,AMUL,,,VC64237
10189,BADI ELAYCHI 500G,PCS,-1,0,0,0,0,0,450,392.86,450,P&G,,,VT27827
10539,BADI ELAYCHI 50G,PCS,-4,0,0,0,0,0,50,0,50,-BLANK-,,,VM21981
10275,BAJAJ 100% PURE COCONUT OIL 500ML,PCS,3,0,0,0,0,143.18,175,151.51,175,BAJAJ,,,8906014762434
1632,BAJAJ ALMOND HAIR OIL 100ML,PCS,16,0,0,0,0,58.1,70,49.24,70,BAJAJ,,,8906014765961
9409,BAJAJ ALMOND HAIR OIL 190ML,PCS,14,0,0,0,0,115.93,138,98.24,138,BAJAJ,,,8906014765978
9410,BAJAJ ALMOND HAIR OIL 285ML,PCS,1,0,0,0,0,172.84,195,150.23,195,BAJAJ,,,8906014765985
1630,BAJAJ ALMOND HAIR OIL 500ML,PCS,3,0,0,0,0,270.34,305,234.98,305,BAJAJ,,,8906014765992
